iter	Passed	Remaining
401	16772	24950
402	16806	24897
403	16842	24846
404	16877	24795
405	16909	24738
406	16946	24690
407	16987	24648
408	17020	24594
409	17064	24556
410	17102	24509
411	17149	24475
412	17185	24425
413	17225	24382
414	17256	24325
415	17294	24278
416	17331	24230
417	17370	24186
418	17405	24134
419	17458	24109
420	17492	24056
421	17527	24006
422	17570	23967
423	17611	23925
424	17663	23897
425	17703	23854
426	17753	23823
427	17794	23781
428	17840	23745
429	17876	23696
430	17924	23663
431	17968	23625
432	18002	23574
433	18041	23528
434	18081	23485
435	18110	23427
436	18154	23389
437	18187	23335
438	18217	23280
439	18261	23241
440	18304	23202
441	18351	23168
442	18395	23129
443	18444	23096
444	18486	23055
445	18528	23014
446	18582	22989
447	18623	22946
448	18658	22897
449	18694	22848
450	18735	22807
451	18775	22763
452	18806	22708
453	18851	22672
454	18885	22620
455	18928	22581
456	18966	22536
457	19003	22489
458	19050	22454
459	19086	22405
460	19127	22363
461	19163	22315
462	19200	22269
463	19237	22223
464	19272	22173
465	19305	22122
466	19352	22087
467	19389	22041
468	19424	21992
469	19459	21943
470	19497	21898
471	19537	21855
472	19578	21814
473	19620	21773
474	19660	21729
475	19695	21681
476	19730	21633
477	19764	21583
478	19796	21532
479	19824	21476
480	19861	21430
481	19894	21380
482	19925	21328
483	19964	21284
484	20003	21240
485	20036	21190
486	20075	21147
487	20113	21102
488	20144	21050
489	20188	21012
490	20223	20964
491	20256	20915
492	20291	20867
493	20324	20817
494	20355	20766
495	20389	20718
496	20430	20677
497	20466	20630
498	20508	20591
499	20550	20550
500	20585	20503
501	20634	20470
502	20670	20423
503	20701	20373
504	20742	20331
505	20779	20286
506	20814	20239
507	20846	20190
508	20882	20144
509	20923	20103
510	20960	20058
511	21001	20017
512	21035	19969
513	21078	19930
514	21114	19884
515	21153	19841
516	21189	19796
517	21221	19746
518	21257	19700
519	21286	19649
520	21326	19606
521	21360	19559
522	21398	19516
523	21451	19486
524	21482	19436
525	21518	19391
526	21553	19345
527	21593	19303
528	21626	19255
529	21659	19207
530	21695	19162
531	21727	19113
532	21759	19065
533	21794	19019
534	21832	18975
535	21867	18930
536	21909	18890
537	21943	18843
538	21983	18802
539	22027	18764
540	22066	18721
541	22111	18684
542	22141	18635
543	22180	18592
544	22216	18547
545	22260	18509
546	22314	18479
547	22351	18436
548	22387	18390
549	22419	18343
550	22459	18301
551	22498	18259
552	22532	18213
553	22571	18171
554	22606	18125
555	22638	18078
556	22672	18032
557	22706	17986
558	22742	17941
559	22773	17893
560	22809	17849
561	22843	17803
562	22887	17765
563	22922	17719
564	22957	17675
565	22993	17631
566	23030	17587
567	23070	17546
568	23104	17500
569	23145	17460
570	23180	17415
571	23215	17371
572	23252	17327
573	23296	17289
574	23336	17248
575	23374	17206
576	23415	17165
577	23450	17121
578	23483	17075
579	23517	17029
580	23552	16985
581	23594	16945
582	23634	16904
583	23662	16855
584	23695	16809
585	23737	16770
586	23774	16727
587	23808	16682
588	23849	16641
589	23885	16598
590	23925	16557
591	23956	16510
592	24009	16478
593	24043	16433
594	24080	16391
595	24119	16349
596	24154	16305
597	24186	16259
598	24220	16214
599	24254	16169
600	24289	16125
601	24332	16087
602	24363	16040
603	24393	15992
604	24431	15951
605	24468	15908
606	24498	15861
607	24544	15824
608	24578	15780
609	24617	15739
610	24652	15695
611	24686	15650
612	24727	15610
613	24774	15575
614	24813	15533
615	24845	15488
616	24877	15442
617	24915	15400
618	24948	15355
619	24981	15311
620	25028	15274
621	25070	15235
622	25114	15197
623	25148	15153
624	25183	15110
625	25220	15067
626	25251	15021
627	25284	14977
628	25314	14931
629	25351	14889
630	25384	14844
631	25418	14800
632	25451	14756
633	25490	14715
634	25525	14672
635	25568	14633
636	25603	14590
637	25634	14544
638	25674	14504
639	25711	14462
640	25745	14419
641	25783	14377
642	25825	14338
643	25863	14297
644	25904	14257
645	25943	14216
646	25977	14173
647	26011	14129
648	26043	14085
649	26076	14041
650	26108	13996
651	26142	13953
652	26173	13908
653	26217	13870
654	26248	13825
655	26280	13781
656	26312	13737
657	26347	13694
658	26389	13655
659	26427	13614
660	26460	13570
661	26501	13530
662	26534	13487
663	26572	13446
664	26608	13404
665	26646	13363
666	26683	13321
667	26716	13278
668	26745	13232
669	26781	13190
670	26815	13148
671	26853	13107
672	26889	13065
673	26925	13023
674	26957	12979
675	26988	12935
676	27024	12893
677	27060	12851
678	27108	12815
679	27151	12776
680	27183	12733
681	27218	12691
682	27254	12649
683	27294	12609
684	27340	12572
685	27373	12529
686	27411	12489
687	27445	12446
688	27478	12403
689	27515	12362
690	27547	12318
691	27583	12276
692	27624	12237
693	27658	12195
694	27700	12156
695	27736	12114
696	27777	12075
697	27816	12035
698	27849	11992
699	27886	11951
700	27924	11910
701	27963	11870
702	27997	11828
703	28042	11790
704	28078	11749
705	28115	11707
706	28159	11670
707	28198	11630
708	28235	11588
709	28270	11547
710	28304	11504
711	28337	11462
712	28370	11419
713	28405	11378
714	28451	11340
715	28485	11298
716	28517	11255
717	28551	11213
718	28588	11173
719	28618	11129
720	28650	11086
721	28683	11044
722	28728	11006
723	28762	10964
724	28803	10925
725	28840	10884
726	28875	10843
727	28913	10802
728	28961	10766
729	29004	10727
730	29045	10688
731	29085	10648
732	29129	10610
733	29171	10571
734	29212	10532
735	29250	10492
736	29291	10452
737	29333	10413
738	29364	10371
739	29403	10331
740	29438	10289
741	29474	10248
742	29506	10206
743	29540	10164
744	29585	10126
745	29619	10085
746	29659	10045
747	29700	10005
748	29736	9965
749	29779	9926
750	29817	9886
751	29851	9844
752	29886	9803
753	29927	9763
754	29962	9722
755	29992	9680
756	30032	9640
757	30066	9598
758	30102	9558
759	30132	9515
760	30165	9473
761	30203	9433
762	30235	9391
763	30273	9351
764	30314	9312
765	30352	9272
766	30385	9230
767	30421	9189
768	30458	9149
769	30496	9109
770	30532	9068
771	30569	9028
772	30604	8987
773	30637	8945
774	30673	8905
775	30714	8865
776	30745	8823
777	30778	8782
778	30814	8741
779	30850	8701
780	30888	8661
781	30923	8620
782	30957	8579
783	30993	8539
784	31030	8498
785	31065	8457
786	31120	8422
787	31157	8382
788	31192	8341
789	31228	8301
790	31265	8260
791	31302	8220
792	31339	8180
793	31372	8139
794	31412	8100
795	31451	8060
796	31486	8019
797	31523	7979
798	31559	7939
799	31598	7899
800	31635	7859
801	31677	7820
802	31711	7779
803	31765	7743
804	31807	7705
805	31843	7664
806	31881	7624
807	31914	7583
808	31954	7544
809	31992	7504
810	32028	7464
811	32070	7425
812	32111	7386
813	32154	7347
814	32190	7307
815	32227	7266
816	32260	7226
817	32292	7184
818	32333	7145
819	32369	7105
820	32407	7065
821	32442	7025
822	32480	6985
823	32520	6946
824	32557	6906
825	32596	6866
826	32641	6828
827	32682	6789
828	32717	6748
829	32750	6708
830	32786	6667
831	32820	6627
832	32855	6586
833	32887	6545
834	32926	6506
835	32961	6466
836	32999	6426
837	33040	6387
838	33076	6347
839	33109	6306
840	33145	6266
841	33180	6226
842	33216	6186
843	33246	6145
844	33285	6105
845	33319	6065
846	33354	6025
847	33386	5984
848	33429	5945
849	33470	5906
850	33525	5869
851	33562	5830
852	33595	5789
853	33630	5749
854	33670	5710
855	33711	5671
856	33753	5632
857	33794	5592
858	33837	5554
859	33874	5514
860	33909	5474
861	33943	5434
862	33989	5395
863	34046	5359
864	34086	5319
865	34127	5280
866	34163	5240
867	34202	5201
868	34236	5161
869	34271	5121
870	34305	5080
871	34335	5040
872	34375	5000
873	34405	4960
874	34448	4921
875	34488	4882
876	34523	4841
877	34559	4802
878	34597	4762
879	34627	4721
880	34660	4681
881	34702	4642
882	34739	4603
883	34776	4563
884	34815	4523
885	34850	4484
886	34884	4444
887	34918	4404
888	34955	4364
889	34990	4324
890	35023	4284
891	35061	4245
892	35105	4206
893	35138	4166
894	35170	4126
895	35208	4086
896	35242	4046
897	35284	4007
898	35329	3969
899	35375	3930
900	35414	3891
901	35450	3851
902	35493	3812
903	35532	3773
904	35562	3733
905	35590	3692
906	35632	3653
907	35664	3613
908	35698	3573
909	35737	3534
910	35773	3494
911	35809	3455
912	35844	3415
913	35880	3376
914	35919	3336
915	35970	3298
916	36009	3259
917	36047	3219
918	36082	3180
919	36113	3140
920	36163	3102
921	36196	3062
922	36237	3023
923	36281	2984
924	36315	2944
925	36356	2905
926	36391	2865
927	36428	2826
928	36462	2786
929	36497	2747
930	36540	2708
931	36577	2668
932	36614	2629
933	36645	2589
934	36681	2550
935	36723	2511
936	36760	2471
937	36796	2432
938	36829	2392
939	36869	2353
940	36904	2313
941	36946	2274
942	36980	2235
943	37015	2195
944	37054	2156
945	37100	2117
946	37132	2078
947	37172	2038
948	37212	1999
949	37247	1960
950	37283	1921
951	37329	1882
952	37367	1842
953	37399	1803
954	37439	1764
955	37479	1724
956	37513	1685
957	37568	1647
958	37604	1607
959	37643	1568
960	37683	1529
961	37729	1490
962	37767	1451
963	37797	1411
964	37839	1372
965	37880	1333
966	37918	1294
967	37949	1254
968	37985	1215
969	38029	1176
970	38063	1136
971	38100	1097
972	38131	1058
973	38167	1018
974	38209	979
975	38244	940
976	38281	901
977	38315	861
978	38352	822
979	38389	783
980	38426	744
981	38464	705
982	38507	665
983	38542	626
984	38574	587
985	38613	548
986	38662	509
987	38694	469
988	38730	430
989	38771	391
990	38806	352
991	38860	313
992	38894	274
993	38929	234
994	38970	195
995	39001	156
996	39040	117
997	39076	78
998	39110	39
999	39149	0
