iter	MultiClass
206	0.8197447917
207	0.8197008464
208	0.8195458984
209	0.8193003255
210	0.819210612
211	0.8190508464
212	0.8188977865
213	0.818753776
214	0.8186173828
215	0.8184451172
216	0.8181932292
217	0.8179796224
218	0.8177276042
219	0.8176047526
220	0.8175040365
221	0.8173377604
222	0.8171944661
223	0.8169252604
224	0.8168222656
225	0.8166653646
226	0.8164536458
227	0.8161936849
228	0.8160534505
229	0.8158517578
230	0.8157994792
231	0.8156367839
232	0.8154792318
233	0.8153451172
234	0.8151307292
235	0.8148716797
236	0.8147167969
237	0.8146460286
238	0.8145413411
239	0.8143580078
240	0.8142388021
241	0.8140975911
242	0.8139496745
243	0.8138376953
244	0.8136960286
245	0.8135714193
246	0.8134577474
247	0.8132871745
248	0.8131064453
249	0.8129971354
250	0.8128636068
251	0.8127771484
252	0.8126402344
253	0.8124322266
254	0.812260026
255	0.8121920573
256	0.8119985677
257	0.8117755859
258	0.8116451823
259	0.8115539063
260	0.8114313802
261	0.811290625
262	0.8111246094
263	0.810983138
264	0.8108608724
265	0.8107046224
266	0.8105455729
267	0.8104282552
268	0.8103410807
269	0.8102465495
270	0.8101401042
271	0.8100316406
272	0.8097284505
273	0.8095964193
274	0.8094839844
275	0.8093850911
276	0.8092865234
277	0.8090822917
278	0.8088791667
279	0.8087189453
280	0.8086110026
281	0.8084965495
282	0.8083129557
283	0.8081848307
284	0.8080564453
285	0.8079026042
286	0.8078179036
287	0.807610612
288	0.8075232422
289	0.8074135417
290	0.8072065104
291	0.8071173828
292	0.8069882161
293	0.8069479818
294	0.8067989583
295	0.8066911458
296	0.8065755859
297	0.8064202474
298	0.8063684896
299	0.8062830729
300	0.8060869792
301	0.8060003255
302	0.8059069661
303	0.8057261719
304	0.8056843099
305	0.805599349
306	0.8055342448
307	0.8054180339
308	0.805265625
309	0.8051102214
310	0.8049680339
311	0.8048152995
312	0.804748112
313	0.8046390625
314	0.8045483073
315	0.8044695964
316	0.8044077474
317	0.8043036458
318	0.8042022786
319	0.8041033854
320	0.8038902344
321	0.8037380859
322	0.8035375651
323	0.8035082682
324	0.8034182943
325	0.8032828776
326	0.803214974
327	0.8031372396
328	0.8030723958
329	0.8029372396
330	0.8028708333
331	0.80271875
332	0.8026655599
333	0.802555013
334	0.8025011719
335	0.8023949219
336	0.8022964844
337	0.8022063151
338	0.8021039063
339	0.8019679036
340	0.8019273437
341	0.8018702474
342	0.8016410807
343	0.8015179036
344	0.8014724609
345	0.8014247396
346	0.8013733724
347	0.8013065104
348	0.801194401
349	0.8010852214
350	0.8009916016
351	0.8009102865
352	0.8008171224
353	0.8007338542
354	0.8007018229
355	0.8005406901
356	0.80044375
357	0.8003664714
358	0.8002486979
359	0.8000776693
360	0.8000313802
361	0.7999508464
362	0.7998936849
363	0.7997896484
364	0.7996663411
365	0.7995588542
366	0.7994483724
367	0.799263151
368	0.7991817708
369	0.7990658203
370	0.7989461589
371	0.7988269531
372	0.7987933594
373	0.7986539062
374	0.798505013
375	0.7983638672
376	0.7982434245
377	0.7981333984
378	0.7980640625
379	0.7979484375
380	0.7978878255
381	0.79779375
382	0.7977336589
383	0.7976611328
384	0.7975415365
385	0.7974475911
386	0.7972527344
387	0.7971500651
388	0.7970138672
389	0.7969210937
390	0.7968251953
391	0.7967252604
392	0.796603776
393	0.7965661458
394	0.7964952474
395	0.7963923177
396	0.7962878255
397	0.7961615234
398	0.7961016276
399	0.7960251302
400	0.79590625
401	0.7958398438
402	0.7957928385
403	0.795679362
404	0.7955821615
405	0.795528125
406	0.7954365234
407	0.7953384115
408	0.7952804036
409	0.7951880859
410	0.7950279948
411	0.7949173828
412	0.7948438151
413	0.7947666667
414	0.7947022786
415	0.7945689453
416	0.7944988281
417	0.7944053385
418	0.7943417318
419	0.7942430339
420	0.7942003255
421	0.7941234375
422	0.7939893229
423	0.7938836589
424	0.7937324219
425	0.7936003255
426	0.7935145833
427	0.7933623047
428	0.7932626953
429	0.7931861328
430	0.7930664714
431	0.7929419271
432	0.7928221354
433	0.7927022786
434	0.7926268229
435	0.7925855469
436	0.7925344401
437	0.7924160156
438	0.7923633464
439	0.7922921875
440	0.7922138021
441	0.792164974
442	0.7920889974
443	0.7920130208
444	0.7919030599
445	0.79178125
446	0.7915874349
447	0.7915542969
448	0.7914867839
449	0.7914166016
450	0.7912942708
451	0.7911720703
452	0.7911003255
453	0.7909421875
454	0.7908747396
455	0.7907770833
456	0.7906897786
457	0.7906259766
458	0.7904648438
459	0.7903941406
460	0.7902421875
461	0.7901261719
462	0.7900423177
463	0.7899871745
464	0.7899091797
465	0.7898857422
466	0.789855013
467	0.7897498047
468	0.7896652995
469	0.7896078125
470	0.7895120443
471	0.7894403646
472	0.7893454427
473	0.7892792969
474	0.7891626302
475	0.7890770833
476	0.789013151
477	0.7889348307
478	0.788848112
479	0.7888229818
480	0.7886874349
481	0.7886459635
482	0.7885809245
483	0.788473112
484	0.7883996094
485	0.7883735026
486	0.7882780599
487	0.7881832682
488	0.7880925781
489	0.7879901693
490	0.7879391927
491	0.7878888672
492	0.787819987
493	0.7876846354
494	0.7876358724
495	0.7875034505
496	0.787358724
497	0.7872583984
498	0.7871750651
499	0.7871071615
500	0.7870451172
501	0.786914974
502	0.7868095052
503	0.7867883464
504	0.7866895833
505	0.7866150391
506	0.786544987
507	0.7865045573
508	0.7864378255
509	0.7863607422
510	0.7863152344
511	0.7862072266
512	0.7861478516
513	0.7860916667
514	0.7859819661
515	0.7859317708
516	0.7858016276
517	0.7857227865
518	0.785613737
519	0.7855777995
520	0.7854372396
521	0.7853768229
522	0.7853031901
523	0.7852141276
524	0.7851733073
525	0.7850889323
526	0.7850376953
527	0.784893099
528	0.7848658854
529	0.7847638021
530	0.7847065755
531	0.7846467448
532	0.7845968099
533	0.7844919922
534	0.784401237
535	0.7843511719
536	0.7842646484
537	0.7841627604
538	0.7841002604
539	0.7840233073
540	0.7839376302
541	0.7838700521
542	0.7838034505
543	0.7837390625
544	0.7836852214
545	0.7835397786
546	0.7834422526
547	0.7833320964
548	0.78324375
549	0.7831698568
550	0.783030013
551	0.7830022135
552	0.7829701823
553	0.7828509115
554	0.7827807292
555	0.7827212891
556	0.7826264974
557	0.7825555339
558	0.782481901
559	0.78245625
560	0.7823967448
561	0.78231875
562	0.7822169922
563	0.7821810547
564	0.7820844401
565	0.7819929688
566	0.781919401
567	0.781870638
568	0.7818041016
569	0.781700651
570	0.7816229818
571	0.7815856771
572	0.781484375
573	0.7813375
574	0.7812957031
575	0.7812252604
576	0.7811335286
577	0.7810483724
578	0.7809205729
579	0.7808595052
580	0.7807604818
581	0.7806939453
582	0.7806389974
583	0.7806380208
584	0.780550651
585	0.7804572917
586	0.7803995443
587	0.7802886719
588	0.7801903646
589	0.7800624349
590	0.7799734375
591	0.7799326172
592	0.779805013
593	0.7797242187
594	0.7796474609
595	0.7796077474
596	0.7795292318
597	0.7794894531
598	0.7794382161
599	0.7794055339
600	0.7793338542
601	0.7792837891
602	0.7792174479
603	0.7791774089
604	0.7790997396
605	0.7790475911
606	0.7789917318
607	0.7789339844
608	0.7788557292
609	0.7787873047
610	0.7787499349
611	0.7786694661
612	0.7785602865
613	0.7785088542
614	0.7784284505
615	0.7783835286
616	0.7783361979
617	0.7782749349
618	0.7782227214
619	0.7781495443
620	0.7780554687
621	0.7779640625
622	0.7778774089
623	0.7778385417
624	0.777746875
625	0.7777067708
626	0.7776779948
627	0.7776200521
628	0.7775601562
629	0.7774886719
630	0.7774230469
631	0.777392513
632	0.7772494792
633	0.7771498698
634	0.7770501302
635	0.7769897786
636	0.7769229167
637	0.7768552083
638	0.7767268229
639	0.7766438802
640	0.7765697266
641	0.7765085286
642	0.7764115234
643	0.7762855469
644	0.776198112
645	0.7761046224
646	0.776047526
647	0.7759664714
648	0.7759283203
649	0.7758689453
650	0.7758324219
651	0.7756985026
652	0.7756589193
653	0.7755858724
654	0.775507487
655	0.7754413411
656	0.7753907552
657	0.7753565755
658	0.7752391276
659	0.7752070313
660	0.7751510417
661	0.7750382812
662	0.7749654948
663	0.7748994141
664	0.7748365234
665	0.7747985026
666	0.7747378255
667	0.7746689453
668	0.7746255859
669	0.7745156901
670	0.7744388021
671	0.7743292969
672	0.7742787109
673	0.7741811198
674	0.7740891276
675	0.7740551432
676	0.7739423177
677	0.7738617187
678	0.7737613281
679	0.7736214844
680	0.7735994141
681	0.7735530599
682	0.7735001953
683	0.7734619792
684	0.7733317708
685	0.7732973307
686	0.7731492839
687	0.7730888021
688	0.7730255208
689	0.7729632813
690	0.7729121094
691	0.7728130208
692	0.7727534505
693	0.7726453125
694	0.7725774089
695	0.7724798177
696	0.7723410156
697	0.7722553385
698	0.7721930339
699	0.772111849
700	0.7720736979
701	0.7719553385
702	0.7718959635
703	0.7718147135
704	0.7717625651
705	0.7716889974
706	0.7716366536
707	0.7715220052
708	0.7714746745
709	0.7714210286
710	0.7713462891
711	0.771280013
712	0.7712677083
713	0.7711988932
714	0.7711210286
715	0.7710519531
716	0.7710277995
717	0.770963737
718	0.770903776
719	0.770875651
720	0.7708276693
721	0.7707679687
722	0.7706813802
723	0.7706311198
724	0.7705526693
725	0.7704951172
726	0.7704391276
727	0.7702972656
728	0.7702189453
729	0.7701697266
730	0.7700553385
731	0.7699416667
732	0.7698108073
733	0.7697460938
734	0.7696378906
735	0.7695777995
736	0.769448112
737	0.7693541667
738	0.7693222005
739	0.7692451172
740	0.7691792969
741	0.7691314453
742	0.7691123698
743	0.7690606771
744	0.7689669922
745	0.7689270833
746	0.7688295573
747	0.7687735026
748	0.7686645182
749	0.7685158203
750	0.7684085938
751	0.7683689453
752	0.7682721354
753	0.7682482422
754	0.7682041667
755	0.7681781901
756	0.7681257161
757	0.7680486328
758	0.7679814453
759	0.7679561198
760	0.7678729818
761	0.7678324219
762	0.7677714193
763	0.7676946615
764	0.7676369792
765	0.767532487
766	0.7674733724
767	0.7674177734
768	0.767339388
769	0.7672690755
770	0.7671953125
771	0.7670916016
772	0.7670144531
773	0.7669683594
774	0.7668714844
775	0.7667865234
776	0.7667588542
777	0.7667470703
778	0.7666952474
779	0.7666430339
780	0.766594401
781	0.7665451823
782	0.7664952474
783	0.76643125
784	0.7663592448
785	0.7663069661
786	0.7662445313
787	0.7661204427
788	0.7660880208
789	0.7660604818
790	0.766004362
791	0.7659679036
792	0.7658819661
793	0.7658272135
794	0.7657695313
795	0.7657223958
796	0.7656976562
797	0.765573763
798	0.7655028646
799	0.7654104818
800	0.7652608073
801	0.765198112
802	0.7651183594
803	0.7650430339
804	0.7649718099
805	0.7649378255
806	0.7648871094
807	0.7648684896
808	0.764778125
809	0.7647251953
810	0.7646851562
811	0.764626237
812	0.7645402995
813	0.7644401042
814	0.7644054688
815	0.764322526
816	0.7642907552
817	0.7642597005
818	0.764191862
819	0.7641541016
820	0.7641039714
821	0.7640662109
822	0.7639788411
823	0.7638753255
824	0.7638145182
825	0.7637436849
826	0.7636934896
827	0.7636786458
828	0.7635952474
829	0.7635338542
830	0.7634940104
831	0.7633884766
832	0.7633504557
833	0.7632408854
834	0.7631704427
835	0.763108724
836	0.7630485026
837	0.7629900391
838	0.762951888
839	0.7629076172
840	0.7628946615
841	0.7628460286
842	0.7627662109
843	0.7627405599
844	0.7626679687
845	0.7626401042
846	0.7625548828
847	0.762464388
848	0.7623639974
849	0.7623389974
850	0.7622471354
851	0.762174349
852	0.7621578125
853	0.7621111328
854	0.7620241536
855	0.7619436198
856	0.7618783854
857	0.7618280599
858	0.7617285156
859	0.761660612
860	0.7616285156
861	0.7616003906
862	0.7615544922
863	0.7614833984
864	0.7614125651
865	0.7613398437
866	0.7612833333
867	0.7612216146
868	0.7611432943
869	0.7611123047
870	0.7610783854
871	0.7610650391
872	0.7609759115
873	0.7609279948
874	0.7608677734
875	0.7608271484
876	0.7607736979
877	0.7606865234
878	0.7606123698
879	0.7605834635
880	0.7605373698
881	0.7604535807
882	0.7603907552
883	0.7603388672
884	0.7602730469
885	0.7602197917
886	0.7600942708
887	0.7600421224
888	0.7599829427
889	0.7599005208
890	0.7598107422
891	0.7596686849
892	0.7596176432
893	0.759558724
894	0.7595136719
895	0.7594363281
896	0.7593390625
897	0.7592361979
898	0.7591638021
899	0.7590947266
900	0.7590184896
901	0.7589588542
902	0.7588863932
903	0.7588132813
904	0.7587801432
905	0.7587448568
906	0.7586869141
907	0.7586600911
908	0.7585651693
909	0.7585511068
910	0.7584984375
911	0.7584357422
912	0.758408138
913	0.7583621094
914	0.758313737
915	0.7582254557
916	0.7581086589
917	0.7580347656
918	0.7579745443
919	0.757896224
920	0.7578333333
921	0.7577953776
922	0.7577186849
923	0.7576313802
924	0.7575852214
925	0.7574919271
926	0.7574214844
927	0.7573552734
928	0.7572886719
929	0.757231901
930	0.757169401
931	0.7571115885
932	0.7570803385
933	0.7570541667
934	0.7570227214
935	0.7569271484
936	0.7568889974
937	0.7568522786
938	0.7567645833
939	0.7567013021
940	0.7566438802
941	0.7565723958
942	0.7565082031
943	0.756444401
944	0.7563702474
945	0.7562701172
946	0.7561791016
947	0.7560994792
948	0.7560144531
949	0.7559554687
950	0.7558403646
951	0.7557318359
952	0.755682487
953	0.7556641276
954	0.7555977214
955	0.7555130208
956	0.7554854818
957	0.7554271484
958	0.7554013672
959	0.7553511719
960	0.7552771484
961	0.755141276
962	0.7550919271
963	0.7550519531
964	0.755009375
965	0.7549333984
966	0.7548516276
967	0.7548161458
968	0.7547755208
969	0.7547339193
970	0.7546701823
971	0.7546054036
972	0.7545703125
973	0.7545098307
974	0.7544011719
975	0.7543874349
976	0.7542994792
977	0.7542572917
978	0.7542002604
979	0.7541426432
980	0.7540645182
981	0.7540031901
982	0.7539296875
983	0.7538801432
984	0.7538202474
985	0.7537594401
986	0.7536751302
987	0.7536614583
988	0.7535906901
989	0.7534904948
990	0.7533621745
991	0.7532134115
992	0.7531210938
993	0.7530125
994	0.7529576172
995	0.7529096354
996	0.7527921875
997	0.7527309245
998	0.7526826823
999	0.7526343099
